X,Y,id,@id,amenity,name,source,AND_a_nosr_p,brand,fuel:diesel,fuel:octane_91,fuel:octane_95,operator,created_by,religion,addr:postcode,addr:street,name:en,website,denomination,wikidata,addr:city,opening_hours,phone,cuisine,delivery,smoking,takeaway,postal_code,atm,parking,short_name,ref,addr:country,addr:housename,addr:place,phone2,phone3,taxi,addr:housenumber,brand:wikidata,brand:wikipedia,name:ru,shop,alt_name,toilets:wheelchair,wheelchair,addr:suburb,description,outdoor_seating,capacity,fee,tourism,url,goods,int_name,old_name,area,ele,building,consulate,country,diplomatic,name:de,office,date,name:ar,name:zh,construction,wpt_symbol,diet:vegetarian,microbrewery,emergency,wikipedia,name:mr,historic,cmt,sym,designation,dispensing,access,female,male,toilets:disposal,drive_in,drive_through,fuel:cng,fuel:lpg,note,wifi,collection_times,covered,motor_vehicle,sport,healthcare,fuel:petrol,charge,email,name:hi,currency:INR,fuel:biodiesel,fuel:biogas,fuel:octane_98,internet_access,type,addr:unit,bus,public_transport,addr:state,park_ride,supervised,surface,backrest,name:ja,landuse,name:ur,social_facility,social_facility:for,studio,fixme,vending,fax,contact:fax,payment:cash,diet,name:fr,amenity_1,site,payment:coins,payment:notes,level,internet_access:fee,addr:district,opening_hours_1,name:ko,service_times,bicycle_parking,extrude,tessellate,visibility,repeat_on,currency:others,currency:Rupees,name:es,name:km,coffee,drink:juice,phone_1,diet:vegan,healthcare:speciality,ferry,townhall:type,contact:email,contact:phone,name:cs,payment:credit_cards,air_conditioning,diaper,drinking_water,unisex,Guard_type,name:he,bar,shelter_type,height
72.8325747,18.927571,node/245653876,node/245653876,restaurant,Copper Chimney,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8272935,18.942228,node/245654537,node/245654537,parking,Premier,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8269,18.9424,node/245654550,node/245654550,parking,Liberty,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8369017,18.9567022,node/245655797,node/245655797,parking,Qamar,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8058471,18.9643233,node/245656700,node/245656700,parking,Kemp's Corner,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8448461,18.9733541,node/245657615,node/245657615,"parking;fuel",,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8427,18.9859,node/245658476,node/245658476,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.9172678,19.0447516,node/245663673,node/245663673,fuel,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.916479,19.0449542,node/245663735,node/245663735,vending_machine,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8936069,19.0611444,node/245665571,node/245665571,hospital,Maa hospital,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
